initial_gap_m,lead_target_speed_mps,ego_target_speed_mps,repeats,success_rate,settled_count,final_gap_mean_m,final_gap_std_m,delta_gap_mean_m,delta_gap_std_m,settle_time_mean_s,settle_time_std_s,final_lead_speed_mean_mps,final_ego_speed_mean_mps
27.5,3.25,5.0,1,0.0,0,nan,nan,nan,nan,nan,nan,nan,nan
28.0,3.25,5.0,1,0.0,0,nan,nan,nan,nan,nan,nan,nan,nan
28.5,3.25,5.0,1,0.0,0,nan,nan,nan,nan,nan,nan,nan,nan
29.0,3.25,5.0,1,0.0,0,nan,nan,nan,nan,nan,nan,nan,nan
29.5,3.25,5.0,1,0.0,0,nan,nan,nan,nan,nan,nan,nan,nan
30.0,3.25,5.0,1,0.0,0,nan,nan,nan,nan,nan,nan,nan,nan
30.5,3.25,5.0,1,0.0,0,nan,nan,nan,nan,nan,nan,nan,nan
31.0,3.25,5.0,1,0.0,0,nan,nan,nan,nan,nan,nan,nan,nan
31.5,3.25,5.0,1,0.0,0,nan,nan,nan,nan,nan,nan,nan,nan
32.0,3.25,5.0,1,0.0,0,nan,nan,nan,nan,nan,nan,nan,nan
8.0,3.5,5.0,1,0.0,0,nan,nan,nan,nan,nan,nan,nan,nan
8.5,3.5,5.0,1,0.0,0,nan,nan,nan,nan,nan,nan,nan,nan
9.0,3.5,5.0,1,0.0,0,nan,nan,nan,nan,nan,nan,nan,nan
9.5,3.5,5.0,1,0.0,0,nan,nan,nan,nan,nan,nan,nan,nan
10.0,3.5,5.0,1,0.0,0,nan,nan,nan,nan,nan,nan,nan,nan
10.5,3.5,5.0,1,0.0,0,nan,nan,nan,nan,nan,nan,nan,nan
