repeat_idx,case_idx,initial_gap_m,lead_target_speed_mps,ego_target_speed_mps,final_gap_m,delta_gap_m,final_lead_speed_mps,final_ego_speed_mps,settled,collision,settle_time_s,ticks_executed,spawn_ok,error
0,41,28.0,2.0,5.0,6.232948035081902,-21.767051964918096,1.7073323086870384,4.848063217208787,0,0,nan,160,1,
0,42,28.5,2.0,5.0,7.2115646888647955,-21.288435311135203,1.703162692293705,4.848447698834156,0,0,nan,160,1,
0,43,29.0,2.0,5.0,7.315812368640007,-21.684187631359993,1.7073513507815954,4.849055807821587,0,0,nan,160,1,
0,44,29.5,2.0,5.0,8.224903045517026,-21.275096954482976,1.707344161940705,4.847992809800255,0,0,nan,160,1,
0,45,30.0,2.0,5.0,8.199131674209603,-21.800868325790397,1.7073642143174774,4.848358297596028,0,0,nan,160,1,
0,46,30.5,2.0,5.0,9.307443803178685,-21.192556196821315,1.7072725528024357,4.848274269679949,0,0,nan,160,1,
0,47,31.0,2.0,5.0,9.217067481114093,-21.782932518885907,1.7073405414677751,4.8474209899947,0,0,nan,160,1,
0,48,31.5,2.0,5.0,10.179865367997225,-21.320134632002777,1.7074252315530565,4.848446902192638,0,0,nan,160,1,
0,49,32.0,2.0,5.0,10.311953827766681,-21.68804617223332,1.7072664732358789,4.848760644468752,0,0,nan,160,1,
0,50,8.0,2.25,5.0,-0.05598692708031194,-8.055986927080312,3.56971525670401,3.042969741824429,0,1,nan,79,1,
0,51,8.5,2.25,5.0,-0.044463141487494084,-8.544463141487494,3.5119743739917273,3.1488472239985676,0,1,nan,86,1,
0,52,9.0,2.25,5.0,-0.040064007979915495,-9.040064007979915,3.4346989560326495,3.248434630758088,0,1,nan,87,1,
0,53,9.5,2.25,5.0,-0.05601272684323,-9.55601272684323,3.7288141632128684,2.8805722313481192,0,1,nan,92,1,
0,54,10.0,2.25,5.0,-0.046174261559958296,-10.046174261559958,3.4663909689604195,3.2397930481147528,0,1,nan,93,1,
0,55,10.5,2.25,5.0,-0.04512094797676092,-10.545120947976761,3.6622071513763315,3.0046474451946534,0,1,nan,100,1,
0,56,11.0,2.25,5.0,-0.07629320546661056,-11.07629320546661,3.761613141230889,2.8694576622507495,0,1,nan,99,1,
0,57,11.5,2.25,5.0,-0.03348042166918486,-11.533480421669186,3.5923634511673974,3.1110706511057433,0,1,nan,107,1,
0,58,12.0,2.25,5.0,-0.06388435745911636,-12.063884357459116,3.6719028665912563,2.9938650774728153,0,1,nan,106,1,
0,59,12.5,2.25,5.0,-0.06081985639070098,-12.560819856390701,3.6093958921311255,3.1011782137924264,0,1,nan,113,1,
0,60,13.0,2.25,5.0,-0.056780288760768016,-13.056780288760768,3.6176458725234153,3.103964526286529,0,1,nan,113,1,
0,61,13.5,2.25,5.0,-0.05009746872408627,-13.550097468724086,3.559938312302239,3.202866698028913,0,1,nan,120,1,
0,62,14.0,2.25,5.0,-0.054371463210997284,-14.054371463210998,3.5590733009460074,3.2027763820709976,0,1,nan,120,1,
0,63,14.5,2.25,5.0,-0.04000466572839034,-14.54000466572839,3.5178391930184847,3.293573650297641,0,1,nan,127,1,
0,64,15.0,2.25,5.0,-0.04879683821598224,-15.048796838215981,3.5220532999974403,3.29063945292738,0,1,nan,127,1,
