lead_target_speed_mps,target_final_gap_m,required_initial_gap_m
3.75,14.5,nan
3.75,15.0,nan
3.75,15.5,nan
3.75,16.0,nan
3.75,16.5,nan
3.75,17.0,nan
3.75,17.5,nan
3.75,18.0,nan
3.75,18.5,nan
3.75,19.0,nan
3.75,19.5,nan
3.75,20.0,nan
3.75,20.5,nan
3.75,21.0,nan
3.75,21.5,nan
3.75,22.0,nan
3.75,22.5,nan
3.75,23.0,nan
3.75,23.5,nan
3.75,24.0,nan
3.75,24.5,nan
3.75,25.0,nan
3.75,25.5,nan
3.75,26.0,nan
3.75,26.5,nan
3.75,27.0,nan
3.75,27.5,nan
3.75,28.0,nan
3.75,28.5,nan
3.75,29.0,nan
3.75,29.5,nan
3.75,30.0,nan
3.75,30.5,nan
3.75,31.0,nan
3.75,31.5,nan
3.75,32.0,nan
4.0,8.0,nan
4.0,8.5,nan
4.0,9.0,nan
4.0,9.5,nan
4.0,10.0,nan
4.0,10.5,nan
4.0,11.0,nan
4.0,11.5,nan
4.0,12.0,nan
4.0,12.5,nan
4.0,13.0,nan
4.0,13.5,nan
4.0,14.0,nan
4.0,14.5,nan
4.0,15.0,nan
4.0,15.5,nan
4.0,16.0,nan
4.0,16.5,nan
4.0,17.0,nan
4.0,17.5,nan
4.0,18.0,nan
4.0,18.5,nan
4.0,19.0,nan
4.0,19.5,nan
4.0,20.0,nan
4.0,20.5,nan
4.0,21.0,nan
4.0,21.5,nan
4.0,22.0,nan
4.0,22.5,nan
4.0,23.0,nan
4.0,23.5,nan
4.0,24.0,nan
4.0,24.5,nan
4.0,25.0,nan
4.0,25.5,nan
4.0,26.0,nan
4.0,26.5,nan
4.0,27.0,nan
4.0,27.5,nan
4.0,28.0,nan
4.0,28.5,nan
4.0,29.0,nan
4.0,29.5,nan
4.0,30.0,nan
4.0,30.5,nan
4.0,31.0,nan
4.0,31.5,nan
4.0,32.0,nan
4.25,8.0,12.59514091350826
4.25,8.5,13.081049562682216
4.25,9.0,14.032385712798085
4.25,9.5,14.292721024679787
4.25,10.0,15.027717626678216
4.25,10.5,15.569077522737116
4.25,11.0,15.617412382587618
4.25,11.5,16.374911625088377
4.25,12.0,16.5371008140263
4.25,12.5,17.319818409517847
4.25,13.0,17.640504939626787
4.25,13.5,18.28760376314333
4.25,14.0,18.596289022121148
4.25,14.5,19.371562952243124
4.25,15.0,19.64234125789949
4.25,15.5,20.394673487812216
4.25,16.0,20.563449508489718
4.25,16.5,21.319500674763834
4.25,17.0,21.635368379524607
4.25,17.5,22.375086300424105
4.25,18.0,22.617430064555794
4.25,18.5,23.38595142944974
4.25,19.0,23.609371874374876
4.25,19.5,24.359521904380877
4.25,20.0,24.537694235588972
4.25,20.5,25.038947368421052
4.25,21.0,26.024647887323944
4.25,21.5,26.55815194195476
4.25,22.0,26.61882400979992
4.25,22.5,27.384442629644752
4.25,23.0,27.50537453812563
